말모이,20184105,1184923,20190113
내안의 그놈,20176251,765381,20190113
주먹왕 랄프 2: 인터넷 속으로,20189463,1342314,20190113
아쿠아맨,20180290,4920735,20190113
극장판 공룡메카드: 타이니소어의 섬,20183915,289873,20190113
보헤미안 랩소디,20185485,9785643,20190113
그린 북,20184574,99569,20190113
범블비,20186281,1553491,20190113
PMC: 더 벙커,20170658,1665204,20190113
스윙키즈,20175547,1462874,20190113
점박이 한반도의 공룡2 : 새로운 낙원,20183785,521053,20190106
언니,20184187,172338,20190106
그린치,20182421,543815,20190106
마약왕,20168773,1787838,20181230
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20183479,259753,20181230
스파이더맨: 뉴 유니버스,20183238,628327,20181230
국가부도의 날,20177552,3723913,20181223
도어락,20179230,1546002,20181223
극장판 포켓몬스터 모두의 이야기,20183375,86997,20181223
호두까기 인형과 4개의 왕국,20189843,408425,20181216
부탁 하나만 들어줘,20182082,87501,20181216
모털 엔진,20178825,262070,20181216
런닝맨 : 풀룰루의 역습,20183745,180709,20181216
완벽한 타인,20177538,5270621,20181216
성난황소,20184481,1567264,20181209
후드,20181905,276658,20181209
신비한 동물들과 그린델왈드의 범죄,20176814,2403686,20181209
베일리 어게인,20183073,78439,20181202
바울,20181171,229837,20181202
거미줄에 걸린 소녀,20183007,25172,20181202
투 프렌즈,20182966,20419,20181202
번 더 스테이지: 더 무비,20183050,298402,20181125
출국,20182935,71407,20181125
툴리,20182669,24325,20181125
너의 췌장을 먹고 싶어,20186822,48910,20181125
동네사람들,20170513,445625,20181118
해피 투게더,20189869,15745,20181118
창궐,20174981,1588443,20181111
해리포터와 마법사의 돌,20010291,259733,20181111
여곡성,20179006,55997,20181111
벽 속에 숨은 마법시계,20181404,211233,20181111
스타 이즈 본,20180523,458917,20181111
구스범스: 몬스터의 역습,20182693,21400,20181111
